l_neighborhood,l_borough,l_boroughId,l_neighborhoodId,l_pickups,l_nta_name,l_nta_id,l_nta_area,l_nta_county_fips
Jamaica Estates,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Jamaica_Estates,165,Jamaica Estates-Holliswood,QN06,42789517.3626,081
Jamaica Hills,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Jamaica_Hills,11,Briarwood-Jamaica Hills,QN35,29408863.1561,081
John F. Kennedy International Airport,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/John_F_Kennedy_International_Airport,11338,Airport,QN98,227761739.733,081
Kensington,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Kensington,281,Kensington-Ocean Parkway,BK41,15893349.4386,047
Kew Gardens,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Kew_Gardens,90,Kew Gardens,QN60,20455799.5034,081
Kew Gardens Hills,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Kew_Gardens_Hills,109,Kew Gardens Hills,QN37,37891124.4813,081
Kingsbridge,Bronx,1,http://nyc.pediacities.com/Resource/Neighborhood/Kingsbridge,198,Van Cortlandt Village,BX28,25673275.303,005
Kips Bay,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Kips_Bay,5670,Murray Hill-Kips Bay,MN20,14465848.0109,061
LaGuardia Airport,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/LaGuardia_Airport,10191,Airport,QN98,227761739.733,081
Latourette Park,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Latourette_Park,2,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,SI24,184847530.574,085
Laurelton,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Laurelton,24,Laurelton,QN66,39763385.1299,081
Liberty Island,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Liberty_Island,0,park-cemetery-etc-Manhattan,MN99,91540542.1537,061
Lighthouse Hill,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Lighthouse_Hill,2,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,SI24,184847530.574,085
Little Italy,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Little_Italy,1411,SoHo-TriBeCa-Civic Center-Little Italy,MN24,24859568.5173,061
Little Neck,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Little_Neck,20,Douglas Manor-Douglaston-Little Neck,QN45,68567676.7487,081
Long Island City,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Long_Island_City,3115,Hunters Point-Sunnyside-West Maspeth,QN31,102392938.704,081
Longwood,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Longwood,79,Longwood,BX33,10732451.8442,005
Lower East Side,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Lower_East_Side,10931,Lower East Side,MN28,23297615.8,061
Manhattan Beach,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Manhattan_Beach,12,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17,63343337.7196,047
Marble Hill,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Marble_Hill,21,Marble Hill-Inwood,MN01,17725321.2143,061
Marine Park,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Marine_Park,43,park-cemetery-etc-Brooklyn,BK99,228790857.479,047
Mariners Harbor,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Mariners_Harbor,2,Mariner's Harbor-Arlington-Port Ivory-Graniteville,SI12,89057577.4918,085
Maspeth,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Maspeth,238,Maspeth,QN30,35633309.4207,081
Melrose,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Melrose,16,Melrose South-Mott Haven North,BX34,17269793.867,005
Middle Village,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Middle_Village,110,Middle Village,QN21,57684674.7749,081
Midland Beach,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Midland_Beach,0,New Dorp-Midland Beach,SI45,55434866.7628,085
Midtown,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Midtown,91433,Midtown-Midtown South,MN17,30192056.9221,061
Midwood,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Midwood,412,Midwood,BK43,35799637.8103,047
Mill Basin,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Mill_Basin,42,Georgetown-Marine Park-Bergen Beach-Mill Basin,BK45,69328952.8314,047
Morningside Heights,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Morningside_Heights,1348,Morningside Heights,MN09,20158317.285,061
Morris Heights,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Morris_Heights,29,University Heights-Morris Heights,BX36,21251406.2729,005
Morris Park,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Morris_Park,82,Pelham Parkway,BX49,23031630.7911,005
Morrisania,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Morrisania,24,Morrisania-Melrose,BX35,16891753.5163,005
Mott Haven,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Mott_Haven,124,Mott Haven-Port Morris,BX39,41903939.6546,005
Mount Eden,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Mount_Eden,25,Highbridge,BX26,16457230.3638,005
Mount Hope,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Mount_Hope,20,Mount Hope,BX41,14718296.4585,005
Murray Hill,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Murray_Hill,9120,Murray Hill-Kips Bay,MN20,14465848.0109,061
Navy Yard,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Navy_Yard,286,park-cemetery-etc-Brooklyn,BK99,228790857.479,047
Neponsit,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Neponsit,1,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,QN10,99449481.6554,081
New Brighton,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/New_Brighton,1,West New Brighton-New Brighton-St. George,SI22,56064920.5158,085
New Dorp,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/New_Dorp,1,New Dorp-Midland Beach,SI45,55434866.7628,085
New Dorp Beach,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/New_Dorp_Beach,0,New Dorp-Midland Beach,SI45,55434866.7628,085
New Springville,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/New_Springville,3,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,SI24,184847530.574,085
NoHo,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/NoHo,5996,West Village,MN23,25000526.0321,061
Nolita,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Nolita,4229,SoHo-TriBeCa-Civic Center-Little Italy,MN24,24859568.5173,061
North Brother Island,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/North_Brother_Island,0,Mott Haven-Port Morris,BX39,41903939.6546,005
North Riverdale,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/North_Riverdale,31,North Riverdale-Fieldston-Riverdale,BX22,49046259.9597,005
Norwood,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Norwood,116,Norwood,BX43,15708884.4138,005
Oakwood,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Oakwood,0,Oakwood-Oakwood Beach,SI25,55951867.6117,085
Olinville,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Olinville,5,Williamsbridge-Olinville,BX44,36273563.8081,005
Ozone Park,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Ozone_Park,119,Ozone Park,QN56,25028558.6376,081
Park Hill,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Park_Hill,2,Grymes Hill-Clifton-Fox Hills,SI08,37748488.6117,085
Park Slope,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Park_Slope,3229,Park Slope-Gowanus,BK37,42518324.0484,047
Parkchester,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Parkchester,42,West Farms-Bronx River,BX08,15081849.7438,005
Pelham Bay,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Pelham_Bay,25,Pelham Bay-Country Club-City Island,BX10,40248130.5227,005
Pelham Bay Park,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Pelham_Bay_Park,10,park-cemetery-etc-Bronx,BX99,220896061.306,005
Pelham Gardens,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Pelham_Gardens,13,Allerton-Pelham Gardens,BX31,31684499.2906,005
Pleasant Plains,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Pleasant_Plains,0,Charleston-Richmond Valley-Tottenville,SI11,145851675.668,085
Plum Beach,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Plum_Beach,0,park-cemetery-etc-Brooklyn,BK99,228790857.479,047
Port Morris,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Port_Morris,57,Mott Haven-Port Morris,BX39,41903939.6546,005
Port Richmond,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Port_Richmond,0,Port Richmond,SI28,36421059.486,085
Prince's Bay,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Prince_s_Bay,0,Annadale-Huguenot-Prince's Bay-Eltingville,SI01,140799012.151,085
Prospect Heights,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Prospect_Heights,1591,Prospect Heights,BK64,10241664.3315,047
Prospect Park,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Prospect_Park,406,park-cemetery-etc-Brooklyn,BK99,228790857.479,047
Prospect-Lefferts Gardens,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Prospect_Lefferts_Gardens,586,Prospect Lefferts Gardens-Wingate,BK60,31642124.9727,047
Queens Village,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Queens_Village,64,Queens Village,QN34,69533432.8468,081
Randall Manor,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Randall_Manor,5,West New Brighton-New Brighton-St. George,SI22,56064920.5158,085
Randall's Island,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Randall_s_Island,110,park-cemetery-etc-Manhattan,MN99,91540542.1537,061
Red Hook,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Red_Hook,1073,Carroll Gardens-Columbia Street-Red Hook,BK33,44600270.3423,047
Rego Park,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Rego_Park,193,Rego Park,QN18,19941409.9811,081
Richmond Hill,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Richmond_Hill,149,Richmond Hill,QN54,50978895.6633,081
Richmondtown,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Richmondtown,2,Oakwood-Oakwood Beach,SI25,55951867.6117,085
Ridgewood,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Ridgewood,242,Ridgewood,QN20,50502645.6932,081
Rikers Island,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Rikers_Island,0,Rikers Island,BX98,18154595.7962,005
Riverdale,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Riverdale,102,North Riverdale-Fieldston-Riverdale,BX22,49046259.9597,005
Rockaway Beach,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Rockaway_Beach,4,Hammels-Arverne-Edgemere,QN12,61904116.8013,081
Rockaway Park,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Rockaway_Park,2,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,QN10,99449481.6554,081
Roosevelt Island,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Roosevelt_Island,105,Lenox Hill-Roosevelt Island,MN31,21501564.9178,061
Rosebank,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Rosebank,4,Stapleton-Rosebank,SI37,46523826.2222,085
Rosedale,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Rosedale,38,Rosedale,QN05,61614930.5798,081
Rossville,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Rossville,2,Rossville-Woodrow,SI32,64959465.3375,085
Schuylerville,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Schuylerville,25,Schuylerville-Throgs Neck-Edgewater Park,BX52,88570461.2986,005
Sea Gate,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Sea_Gate,3,Seagate-Coney Island,BK21,38725865.5956,047
Sheepshead Bay,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Sheepshead_Bay,307,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17,63343337.7196,047
Shore Acres,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Shore_Acres,12,Stapleton-Rosebank,SI37,46523826.2222,085
Silver Lake,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Silver_Lake,1,New Brighton-Silver Lake,SI35,47140398.5059,085
SoHo,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/SoHo,26196,SoHo-TriBeCa-Civic Center-Little Italy,MN24,24859568.5173,061
Soundview,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Soundview,30,Soundview-Bruckner,BX55,16260511.4214,005
South Beach,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/South_Beach,5,Old Town-Dongan Hills-South Beach,SI36,67010738.0679,085
South Brother Island,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/South_Brother_Island,0,Mott Haven-Port Morris,BX39,41903939.6546,005
South Ozone Park,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/South_Ozone_Park,214,South Ozone Park,QN55,82461747.3901,081
South Slope,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/South_Slope,1011,Park Slope-Gowanus,BK37,42518324.0484,047
Springfield Gardens,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Springfield_Gardens,77,Springfield Gardens North,QN02,28428437.6791,081
Spuyten Duyvil,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Spuyten_Duyvil,34,Spuyten Duyvil-Kingsbridge,BX29,23220349.3359,005
St. Albans,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/St_Albans,69,St. Albans,QN08,77412747.7581,081
St. George,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/St_George,5,West New Brighton-New Brighton-St. George,SI22,56064920.5158,085
Stapleton,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Stapleton,1,Stapleton-Rosebank,SI37,46523826.2222,085
Stuyvesant Town,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Stuyvesant_Town,2611,Stuyvesant Town-Cooper Village,MN50,5575232.22541,061
Sunnyside,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Sunnyside,617,Hunters Point-Sunnyside-West Maspeth,QN31,102392938.704,081
Sunset Park,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Sunset_Park,950,Sunset Park West,BK32,50067191.2566,047
Theater District,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Theater_District,16321,Midtown-Midtown South,MN17,30192056.9221,061
Throgs Neck,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Throgs_Neck,39,Schuylerville-Throgs Neck-Edgewater Park,BX52,88570461.2986,005
Todt Hill,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Todt_Hill,1,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,SI24,184847530.574,085
Tompkinsville,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Tompkinsville,1,Grymes Hill-Clifton-Fox Hills,SI08,37748488.6117,085
Tottenville,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Tottenville,0,Charleston-Richmond Valley-Tottenville,SI11,145851675.668,085
Tremont,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Tremont,15,East Tremont,BX17,19256405.1623,005
Tribeca,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Tribeca,18393,SoHo-TriBeCa-Civic Center-Little Italy,MN24,24859568.5173,061
Two Bridges,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Two_Bridges,329,Chinatown,MN27,14501953.104,061
Unionport,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Unionport,16,Westchester-Unionport,BX59,23945209.5009,005
University Heights,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/University_Heights,40,Kingsbridge Heights,BX30,13167198.1692,005
Upper East Side,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Upper_East_Side,47928,Lenox Hill-Roosevelt Island,MN31,21501564.9178,061
Upper West Side,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Upper_West_Side,25889,Upper West Side,MN12,34381053.2223,061
Van Cortlandt Park,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Van_Cortlandt_Park,34,park-cemetery-etc-Bronx,BX99,220896061.306,005
Van Nest,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Van Nest,14,Van Nest-Morris Park-Westchester Square,BX37,36304722.8209,005
Vinegar Hill,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Vinegar_Hill,438,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38,28462565.7562,047
Wakefield,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Wakefield,36,Woodlawn-Wakefield,BX62,39744928.4221,005
Washington Heights,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Washington_Heights,1145,Washington Heights South,MN36,23100222.7507,061
West Brighton,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/West_Brighton,8,New Brighton-Silver Lake,SI35,47140398.5059,085
West Farms,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/West_Farms,15,East Tremont,BX17,19256405.1623,005
West Village,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/West_Village,29017,West Village,MN23,25000526.0321,061
Westchester Square,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Westchester_Square,32,Van Nest-Morris Park-Westchester Square,BX37,36304722.8209,005
Westerleigh,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Westerleigh,3,Westerleigh,SI07,63293572.2794,085
Whitestone,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Whitestone,66,Whitestone,QN49,69043734.8995,081
Williamsbridge,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Williamsbridge,39,Williamsbridge-Olinville,BX44,36273563.8081,005
Williamsburg,Brooklyn,4,http://nyc.pediacities.com/Resource/Neighborhood/Williamsburg,14502,East Williamsburg,BK90,39141060.0713,047
Willowbrook,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Willowbrook,0,New Springville-Bloomfield-Travis,SI05,327762258.869,085
Windsor Terrace,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Windsor_Terrace,379,Windsor Terrace,BK40,14041611.8205,047
Woodhaven,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Woodhaven,55,Woodhaven,QN53,37001316.6276,081
Woodlawn,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Woodlawn,17,park-cemetery-etc-Bronx,BX99,220896061.306,005
Woodrow,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Woodrow,0,Rossville-Woodrow,SI32,64959465.3375,085
Woodside,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Woodside,159,Woodside,QN63,28245728.0828,081
